ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_AREA_UBICACION,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,PROMEDIO_AREAS,DESVIACION_AREAS,BRECHA_MEJOR_PEOR,MEJOR_AREA,PEOR_AREA,TIENE_INTERNET_Y_TV,INDICE_RECURSOS_HOGAR,DEDICACION_TOTAL_MIN,ZONA_RURAL,NIVEL_INGLES,Z_LECTURA_CRITICA,Z_MATEMATICAS,Z_C_NATURALES,Z_SOCIALES_CIUDADANAS,Z_INGLES,NIVEL_DESEMPENO_GLOBAL,PERCENTIL_GLOBAL,RATIO_LECTURA_MATEMATICAS,GRUPO_ESTRATO
0,15,2,1,1,1,0,0,15,0,53,50,54,53,58.0,265,53.6,2.8809720581775866,8.0,PUNT_INGLES,PUNT_MATEMATICAS,1,3,15,0,medio,0.007418711773220604,-0.07841420769045998,0.36106561822968863,0.3488195321534149,0.5767055285726409,Medio,59.233333333333334,1.06,medio
0,7,3,0,0,1,1,15,45,0,41,38,42,37,49.0,201,41.4,4.722287581247038,12.0,PUNT_INGLES,PUNT_SOCIALES_CIUDADANAS,0,1,60,0,medio,-1.195615629830152,-1.0923910312739973,-0.7865913000352577,-0.9808610224339355,-0.20994948160525678,Bajo,15.833333333333332,1.0789473684210527,medio
1,2,2,0,1,0,1,0,15,0,58,58,51,56,42.0,273,53.0,6.782329983125268,16.0,PUNT_LECTURA_CRITICA,PUNT_INGLES,0,1,15,0,medio,0.5086830207746258,0.5975703413652315,0.07415138866345206,0.598134636138543,-0.8217922672991772,Medio,64.43333333333334,1.0,medio
0,31,2,0,1,0,1,45,120,0,70,62,63,62,68.0,323,65.0,3.7416573867739413,8.0,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,0,1,165,0,alto,1.7117173623779984,0.9355626158930772,1.2218083069283985,1.0967648441087994,1.4507666509925272,Alto,89.86666666666666,1.1290322580645162,medio
1,2,6,1,1,1,2,0,180,0,69,63,73,60,80.0,337,69.0,7.968688725254614,20.0,PUNT_INGLES,PUNT_SOCIALES_CIUDADANAS,1,3,180,0,alto,1.6114645005777173,1.0200606845250386,2.178189072149187,0.9305547747853806,2.4996399978963906,Alto,95.0,1.0952380952380953,alto
1,15,3,1,1,1,1,0,180,0,69,71,64,71,82.0,349,71.4,6.58027355054484,18.0,PUNT_INGLES,PUNT_C_NATURALES,1,3,180,0,alto,1.6114645005777173,1.6960452335807301,1.3174463834504773,1.8447101560641839,2.674452222380368,Alto,96.86666666666667,0.971830985915493,medio
0,12,1,1,0,0,1,45,15,0,62,51,49,55,52.0,270,53.8,5.069516742254631,13.0,PUNT_LECTURA_CRITICA,PUNT_C_NATURALES,0,1,60,0,medio,0.90969446797575,0.006083860941501454,-0.11712476438070567,0.5150296014768336,0.05226885512070911,Medio,62.4,1.2156862745098038,bajo
0,2,1,0,1,0,2,15,45,0,35,30,38,29,37.0,167,33.8,4.08656334834051,9.0,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,0,1,60,0,bajo,-1.7971328006318381,-1.7683755803296886,-1.1691436061235732,-1.6457012997276106,-1.2588228285091203,Bajo,2.6,1.1666666666666667,bajo
0,20,1,1,0,0,2,15,15,0,55,56,56,53,45.0,271,53.0,4.636809247747852,11.0,PUNT_MATEMATICAS,PUNT_INGLES,0,1,30,0,medio,0.2079244353737827,0.42857420410130864,0.5523417712738464,0.3488195321534149,-0.5595739305732113,Medio,62.96666666666667,0.9821428571428571,bajo
0,3,1,0,1,1,1,45,45,1,57,63,64,56,56.0,298,59.2,3.96232255123179,8.0,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,0,2,90,1,medio,0.4084301589743448,1.0200606845250386,1.3174463834504773,0.598134636138543,0.40189330408866364,Medio,79.63333333333334,0.9047619047619048,bajo
0,15,3,1,1,1,0,90,45,0,66,72,64,55,68.0,323,65.0,6.324555320336759,17.0,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,1,3,135,0,alto,1.3107059151768743,1.7805433022126915,1.3174463834504773,0.5150296014768336,1.4507666509925272,Alto,89.86666666666666,0.9166666666666666,medio
0,4,3,1,1,1,2,0,15,0,66,65,71,55,60.0,320,63.4,6.107372593840988,16.0,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,1,3,15,0,medio,1.3107059151768743,1.1890568217889614,1.9869129191050294,0.5150296014768336,0.7515177530566182,Alto,88.76666666666667,1.0153846153846153,medio
0,8,1,0,1,0,1,45,180,0,60,60,62,60,44.0,296,57.2,7.429670248402684,18.0,PUNT_C_NATURALES,PUNT_INGLES,0,1,225,0,medio,0.709188744375188,0.7665664786291544,1.1261702304063195,0.9305547747853806,-0.6469800428151999,Medio,78.5,1.0,bajo
0,15,2,0,1,1,1,0,15,0,46,55,46,46,41.0,238,46.8,5.06951674225463,14.0,PUNT_MATEMATICAS,PUNT_INGLES,0,2,15,0,medio,-0.6943513208287467,0.3440761354693472,-0.40403899394694226,-0.2329157104785509,-0.9091983795411658,Bajo,41.699999999999996,0.8363636363636363,medio
1,19,0,1,1,1,2,15,45,0,32,31,44,40,34.0,183,36.2,5.585696017507577,13.0,PUNT_C_NATURALES,PUNT_MATEMATICAS,1,3,60,0,bajo,-2.0978913860326815,-1.6838775116977271,-0.5953151469911,-0.7315459184488072,-1.5210411652350861,Bajo,7.1,1.032258064516129,bajo
0,23,1,0,1,1,1,45,45,0,55,61,52,47,61.0,272,55.2,6.016643582596529,14.0,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,0,2,90,0,alto,0.2079244353737827,0.8510645472611158,0.16978946518553092,-0.14981067581684152,0.8389238652986067,Medio,63.7,0.9016393442622951,bajo
0,15,2,1,1,1,1,120,15,0,61,57,57,61,60.0,295,59.2,2.04939015319192,4.0,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,1,3,135,0,medio,0.809441606175469,0.51307227273327,0.6479798477959252,1.01365980944709,0.7515177530566182,Medio,77.96666666666667,1.0701754385964912,medio
