ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_AREA_UBICACION,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL
0,15,2,1,1,1,0,0,15,0,53,50,54,53,58.0,265
0,7,3,0,0,1,1,15,45,0,41,38,42,37,49.0,201
1,2,2,0,1,0,1,0,15,0,58,58,51,56,42.0,273
0,31,2,0,1,0,1,45,120,0,70,62,63,62,68.0,323
1,2,6,1,1,1,2,0,180,0,69,63,73,60,80.0,337
1,15,3,1,1,1,1,0,180,0,69,71,64,71,82.0,349
0,12,1,1,0,0,1,45,15,0,62,51,49,55,52.0,270
0,2,1,0,1,0,2,15,45,0,35,30,38,29,37.0,167
0,20,1,1,0,0,2,15,15,0,55,56,56,53,45.0,271
0,3,1,0,1,1,1,45,45,1,57,63,64,56,56.0,298
0,15,3,1,1,1,0,90,45,0,66,72,64,55,68.0,323
0,4,3,1,1,1,2,0,15,0,66,65,71,55,60.0,320
0,8,1,0,1,0,1,45,180,0,60,60,62,60,44.0,296
0,15,2,0,1,1,1,0,15,0,46,55,46,46,41.0,238
1,19,0,1,1,1,2,15,45,0,32,31,44,40,34.0,183
0,23,1,0,1,1,1,45,45,0,55,61,52,47,61.0,272
0,15,2,1,1,1,1,120,15,0,61,57,57,61,60.0,295
0,18,2,1,1,1,0,15,15,0,39,37,31,38,39.0,182
0,4,1,0,0,1,0,15,120,0,51,34,37,44,49.0,210
1,28,2,1,1,1,1,45,120,0,58,62,68,64,65.0,316
1,5,2,0,1,1,1,0,15,0,50,46,36,37,34.0,208
1,15,3,1,1,1,2,0,120,0,66,66,62,58,51.0,310
0,31,2,1,1,1,1,15,120,0,55,53,53,47,48.0,258
0,30,1,1,1,1,2,15,120,0,59,45,48,55,52.0,259
1,28,3,1,1,1,1,45,120,0,59,63,63,63,72.0,314
1,15,2,1,1,1,1,45,45,0,56,55,50,57,52.0,272
0,6,2,0,1,0,2,15,15,0,59,51,57,54,45.0,272
0,15,3,1,1,1,2,45,120,0,69,58,61,55,64.0,305
0,26,1,0,0,1,1,120,15,1,57,52,53,41,49.0,253
0,22,2,0,0,0,1,0,120,0,46,30,34,37,38.0,184
0,14,2,0,1,1,1,45,180,0,37,36,35,34,41.0,180
0,5,3,1,1,1,1,15,45,0,56,57,49,37,59.0,252
1,15,3,1,1,1,0,0,180,1,61,51,57,58,61.0,285
1,15,2,1,1,1,1,15,15,0,54,53,52,53,58.0,267
1,15,2,1,1,1,2,45,15,0,64,65,67,66,76.0,332
1,15,4,1,1,1,2,0,180,0,60,56,59,66,72.0,306
1,14,2,1,0,1,0,90,120,0,60,62,59,53,58.0,292
1,19,3,1,1,0,1,120,120,0,51,67,63,58,58.0,298
0,8,1,0,0,0,1,15,15,0,68,66,61,61,65.0,320
0,18,1,0,0,0,1,45,15,0,55,46,47,52,48.0,249
0,15,2,1,1,1,2,45,45,0,54,54,48,48,49.0,254
0,13,0,0,1,0,1,90,180,0,43,35,45,43,49.0,210
0,18,4,1,1,1,2,90,15,0,64,40,46,60,52.0,262
1,15,3,1,1,1,1,0,180,0,60,62,57,56,58.0,293
0,11,2,0,0,0,1,0,45,0,51,40,37,40,35.0,207
0,10,1,1,1,1,2,15,180,0,45,42,44,34,48.0,209
1,2,1,1,1,1,1,0,180,0,56,59,54,61,46.0,283
1,15,1,1,1,1,1,15,180,0,62,57,57,60,60.0,295
0,5,1,0,1,0,1,0,15,1,40,22,35,31,41.0,163
0,21,4,1,1,1,1,15,180,0,49,47,42,46,55.0,233
0,6,4,1,0,0,0,15,45,0,53,61,57,52,59.0,280
0,22,1,0,0,0,2,15,0,1,52,45,53,47,53.0,248
0,15,3,1,1,1,1,15,120,0,58,57,48,55,55.0,273
1,10,3,1,1,0,0,0,120,0,50,55,49,45,50.0,249
0,4,3,0,0,0,0,15,0,0,61,47,61,58,38.0,277
0,25,4,1,1,1,1,45,180,0,54,52,41,37,63.0,237
0,19,1,1,1,1,0,0,180,1,59,65,62,64,58.0,311
0,20,2,0,0,0,1,0,45,0,46,41,39,36,39.0,202
1,5,4,1,0,1,2,0,15,0,46,43,40,31,45.0,202
1,4,3,1,1,1,1,90,180,0,59,53,51,47,75.0,271
1,21,2,0,1,0,2,15,120,0,63,59,61,62,50.0,302
0,2,1,1,0,0,0,15,180,0,32,33,36,36,34.0,171
1,20,3,1,1,0,2,15,120,0,52,38,37,45,48.0,217
0,22,1,0,0,0,1,90,15,0,56,53,49,39,52.0,247
0,15,3,1,1,1,2,90,180,0,58,54,55,52,58.0,275
0,7,1,0,0,0,1,15,15,1,43,33,28,42,36.0,182
0,15,2,1,1,1,2,0,15,0,48,39,40,34,46.0,203
1,15,1,1,1,1,1,15,120,0,45,37,41,42,51.0,210
0,2,1,1,1,1,1,90,120,0,50,54,51,47,54.0,254
0,4,2,1,1,0,1,15,180,0,57,61,61,60,56.0,297
0,14,2,1,1,0,1,15,120,0,57,58,60,63,53.0,295
0,25,2,1,1,1,1,45,45,0,64,51,46,56,57.0,272
1,2,3,1,1,1,2,0,180,0,45,38,47,32,41.0,203
0,2,1,0,0,1,0,0,0,0,50,43,41,46,39.0,223
1,31,1,0,1,1,0,15,45,0,53,44,44,42,52.0,231
1,4,1,0,0,0,2,15,15,0,56,45,56,62,62.0,277
0,2,2,0,1,0,1,120,180,1,55,38,49,53,48.0,243
1,13,1,0,0,0,1,15,15,0,37,50,42,30,43.0,200
0,15,1,1,1,0,0,45,15,0,62,60,65,69,63.0,320
1,18,1,1,1,1,2,45,45,0,59,62,68,58,60.0,308
1,2,2,1,0,1,1,15,120,1,44,35,35,36,48.0,192
1,28,2,1,0,1,1,0,180,0,61,65,61,60,58.0,307
0,15,2,1,1,1,0,15,120,0,59,55,51,50,66.0,273
0,2,2,1,1,0,2,15,180,0,46,32,37,39,44.0,195
1,29,2,0,1,0,1,45,15,0,65,79,72,79,65.0,365
0,15,3,1,1,1,1,0,45,0,51,57,60,50,56.0,273
0,9,2,1,1,0,1,0,15,0,61,65,62,64,65.0,316
1,15,2,1,1,1,2,15,180,0,48,51,50,38,52.0,236
1,25,3,1,1,1,2,45,120,0,44,46,44,47,50.0,228
0,15,2,1,1,0,1,90,45,0,66,55,63,62,54.0,305
0,13,1,0,0,0,1,45,15,0,51,51,53,40,46.0,243
0,28,1,1,1,1,2,90,120,0,52,63,62,57,67.0,296
0,2,2,1,1,1,1,45,45,0,38,43,48,40,38.0,210
0,15,3,1,1,0,2,15,45,0,46,34,42,42,40.0,205
0,18,1,0,1,1,1,15,15,0,47,47,51,38,38.0,226
1,29,3,0,0,0,1,15,15,0,46,31,39,31,30.0,181
0,13,1,0,1,1,1,45,15,0,45,42,37,33,49.0,200
0,9,1,0,1,1,1,0,15,0,35,32,37,24,39.0,163
1,2,2,0,0,0,0,15,120,0,68,61,61,74,56.0,326
0,25,2,1,1,1,1,90,120,0,65,53,50,51,59.0,275
1,19,2,0,1,1,1,15,15,0,57,46,52,46,47.0,250
0,15,2,1,1,1,0,15,180,0,62,61,56,67,55.0,305
1,15,3,1,1,1,1,15,45,0,57,53,50,43,51.0,254
0,18,2,1,1,0,0,0,180,1,56,46,45,38,36.0,227
0,2,2,0,1,0,1,0,120,1,49,58,56,60,56.0,279
1,10,1,0,0,0,2,0,15,0,51,51,55,58,55.0,269
0,30,2,1,1,1,1,15,120,0,59,56,57,54,53.0,281
1,31,2,0,0,0,1,15,15,1,46,45,38,31,34.0,198
0,2,2,0,0,1,1,45,0,0,40,37,38,38,43.0,193
0,6,2,0,1,0,1,15,45,0,45,49,49,46,49.0,237
0,2,2,1,1,1,2,0,180,0,45,54,49,30,47.0,223
1,28,4,1,1,1,1,45,120,0,61,70,66,63,68.0,326
1,28,1,0,1,0,1,15,120,1,58,52,58,52,54.0,275
0,26,2,0,1,0,1,45,120,0,48,46,45,46,49.0,232
1,20,4,0,1,0,1,15,0,0,46,45,45,44,47.0,226
1,15,1,0,1,0,2,15,0,0,46,51,55,54,54.0,258
0,14,3,1,1,1,2,90,180,0,48,50,56,43,47.0,245
0,15,2,0,1,0,1,45,45,0,52,41,44,46,55.0,232
0,20,1,0,0,0,1,45,120,0,47,30,39,38,40.0,193
0,10,1,0,1,0,1,15,15,0,45,46,40,35,46.0,209
0,2,3,1,1,1,2,0,120,0,54,49,43,42,62.0,241
1,15,3,1,1,1,1,45,120,0,50,51,36,41,58.0,228
1,5,1,0,1,1,2,0,180,0,55,36,36,52,38.0,221
1,10,1,0,0,0,0,90,15,1,52,61,64,56,44.0,286
0,15,2,1,1,1,2,45,120,0,53,41,48,42,52.0,232
0,7,2,1,1,1,1,15,15,0,47,52,46,52,41.0,243
1,15,3,1,1,1,1,45,180,0,63,62,61,58,52.0,302
1,15,3,1,1,1,2,0,180,0,53,44,43,39,48.0,225
0,4,1,1,1,1,1,0,120,0,45,24,33,35,40.0,173
0,31,1,1,0,0,0,15,180,0,70,77,71,68,68.0,356
0,15,2,1,1,1,1,45,180,0,72,70,72,62,60.0,342
0,31,1,0,1,0,1,0,120,0,54,54,57,48,60.0,269
0,14,1,1,1,1,2,0,0,0,61,47,54,60,43.0,273
1,15,2,1,1,1,2,15,45,0,55,61,58,55,53.0,285
1,25,2,0,1,0,2,0,45,0,47,55,53,49,35.0,249
0,5,1,1,1,1,1,45,45,0,70,60,56,64,61.0,312
0,15,4,1,1,1,1,45,120,0,74,77,76,74,83.0,379
1,21,1,0,1,0,0,0,0,0,46,48,53,48,48.0,243
0,22,4,0,0,0,1,15,180,0,49,38,51,39,51.0,224
1,30,2,1,1,1,2,45,120,0,52,61,57,54,51.0,278
1,23,3,1,1,1,1,15,45,0,65,73,70,61,75.0,339
0,22,1,0,1,0,1,15,0,1,54,41,51,57,37.0,248
0,15,1,1,0,1,1,45,120,0,55,46,50,37,44.0,234
0,20,2,0,1,1,1,45,120,0,68,49,48,60,55.0,281
1,14,2,1,1,1,1,15,15,0,58,67,63,63,66.0,315
0,31,1,0,1,1,1,90,15,0,48,45,44,52,45.0,235
0,15,3,1,1,1,1,90,180,0,48,55,51,41,47.0,243
1,19,1,0,0,0,1,15,15,0,41,55,57,37,48.0,238
0,2,4,1,1,1,2,120,120,0,63,60,63,64,70.0,315
1,4,2,1,1,1,1,15,180,0,48,46,39,42,40.0,217
0,12,0,0,0,0,2,15,0,1,23,34,30,36,34.0,155
1,9,1,0,1,0,1,0,0,1,48,54,61,57,62.0,278
1,2,2,1,1,1,1,0,120,0,53,47,49,35,53.0,233
0,14,3,1,1,1,1,15,120,0,45,43,48,50,52.0,235
1,31,2,1,1,0,1,45,180,0,53,61,61,57,58.0,290
0,12,1,1,1,0,1,15,45,0,54,54,52,53,55.0,267
1,13,2,1,1,1,1,45,120,0,50,52,50,36,43.0,233
0,2,1,1,0,1,0,90,180,0,59,62,50,59,59.0,288
0,4,2,1,1,1,2,90,45,0,35,36,29,32,35.0,166
0,15,4,1,1,1,1,0,180,0,70,73,63,74,84.0,355
1,23,3,1,1,0,1,15,45,0,57,49,43,52,57.0,254
0,15,2,1,1,1,1,45,180,0,50,52,44,35,56.0,230
1,31,3,1,1,1,1,45,45,0,51,42,40,47,49.0,227
0,15,2,1,1,1,1,45,180,0,59,61,63,54,63.0,298
0,2,1,0,0,0,1,15,45,0,40,23,35,37,39.0,171
0,6,2,1,1,1,1,45,120,0,74,84,64,76,62.0,368
1,15,3,1,0,1,0,45,45,0,51,28,38,34,46.0,192
0,30,1,0,0,0,1,15,180,0,40,33,42,39,31.0,190
0,14,3,1,1,1,2,45,180,0,57,59,51,50,33.0,263
1,31,2,1,1,0,2,15,120,0,53,54,38,38,44.0,228
1,22,1,0,0,0,1,15,45,1,56,54,52,59,33.0,268
1,2,3,0,1,0,0,15,120,0,58,51,47,65,45.0,272
0,31,2,1,1,1,1,45,180,0,59,45,60,52,71.0,277
0,2,3,0,1,1,2,0,180,0,46,39,40,40,44.0,207
1,15,2,1,0,1,2,15,180,0,61,61,58,50,63.0,290
1,15,2,0,1,0,2,15,45,0,61,49,49,47,49.0,257
0,15,2,0,1,0,1,90,45,0,73,49,49,54,54.0,280
1,4,1,0,0,0,0,45,0,0,59,58,59,51,40.0,277
0,22,1,0,0,0,1,15,15,1,43,48,44,38,44.0,217
1,28,3,1,1,0,2,45,120,0,63,65,63,63,57.0,315
0,28,2,1,0,1,0,15,120,0,60,66,56,70,51.0,310
1,10,2,1,1,1,2,0,180,0,63,44,41,48,50.0,245
0,2,3,1,1,1,1,15,45,0,58,59,60,51,54.0,284
0,2,2,0,0,1,2,45,45,0,44,34,33,30,34.0,176
1,18,1,0,1,0,1,15,180,0,49,62,62,54,56.0,283
1,15,2,1,1,1,1,0,180,0,54,49,55,53,55.0,265
0,7,1,0,1,0,1,0,15,0,52,50,54,50,52.0,258
1,15,3,1,1,1,1,15,15,0,64,61,60,66,71.0,317
0,15,2,1,1,0,1,15,120,0,50,34,38,52,36.0,215
0,9,2,0,0,0,1,90,15,0,55,60,55,59,46.0,282
1,14,1,1,0,0,1,45,180,0,55,50,56,60,59.0,278
0,15,2,1,0,1,0,45,15,0,49,44,45,47,49.0,232
0,2,1,0,0,0,1,15,120,0,43,32,45,38,40.0,198
1,21,3,1,1,1,1,0,45,0,50,28,40,43,40.0,201
